volume,position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y_danceability,y_energy,y_loudness,y_speechiness,y_acousticness,y_instrumentalness,y_liveness,y_valence,y_tempo
39,1,0.336,0.295,-16.796,0.0368,0.992,0.895,0.0824,0.0388,158.167,0.673,0.331,-21.874,0.0437,0.827,0.956,0.102,0.733,101.003
39,2,0.673,0.331,-21.874,0.0437,0.827,0.956,0.102,0.733,101.003,0.789,0.412,-7.518,0.243,0.0218,0.000312,0.3,0.518,89.914
39,3,0.789,0.412,-7.518,0.243,0.0218,0.000312,0.3,0.518,89.914,0.723,0.388,-14.858,0.0356,0.731,0.933,0.0582,0.19,110.009
39,4,0.723,0.388,-14.858,0.0356,0.731,0.933,0.0582,0.19,110.009,0.981,0.856,-8.869,0.227,0.157,0.842,0.106,0.434,120.007
39,5,0.981,0.856,-8.869,0.227,0.157,0.842,0.106,0.434,120.007,0.758,0.672,-9.411,0.0455,0.0515,0.0861,0.114,0.178,120.01
39,6,0.758,0.672,-9.411,0.0455,0.0515,0.0861,0.114,0.178,120.01,0.547,0.571,-6.312,0.0336,0.454,0.851,0.0845,0.289,130.686
39,7,0.547,0.571,-6.312,0.0336,0.454,0.851,0.0845,0.289,130.686,0.68,0.484,-13.829,0.0761,0.44,0.905,0.176,0.0723,122.044
39,8,0.68,0.484,-13.829,0.0761,0.44,0.905,0.176,0.0723,122.044,0.689,0.793,-9.579,0.04,0.24,0.924,0.141,0.24,121.983
39,9,0.689,0.793,-9.579,0.04,0.24,0.924,0.141,0.24,121.983,0.669,0.885,-6.538,0.0361,0.00134,0.906,0.213,0.156,119.974
39,10,0.669,0.885,-6.538,0.0361,0.00134,0.906,0.213,0.156,119.974,0.56,0.865,-1.148,0.0909,0.255,0.000153,0.083,0.424,159.96
39,11,0.56,0.865,-1.148,0.0909,0.255,0.000153,0.083,0.424,159.96,0.594,0.631,-8.868,0.0261,0.785,0.943,0.186,0.113,121.982
39,12,0.594,0.631,-8.868,0.0261,0.785,0.943,0.186,0.113,121.982,0.777,0.686,-8.933,0.0368,0.398,0.572,0.0664,0.648,127.993
38,1,0.187,0.00257,-37.134,0.0427,0.994,0.952,0.0915,0.0374,123.707,0.671,0.545,-12.848,0.0393,0.524,0.853,0.118,0.284,133.036
38,2,0.671,0.545,-12.848,0.0393,0.524,0.853,0.118,0.284,133.036,0.688,0.779,-10.129,0.0579,0.0387,0.118,0.349,0.938,94.073
38,3,0.688,0.779,-10.129,0.0579,0.0387,0.118,0.349,0.938,94.073,0.539,0.705,-6.729,0.0527,0.00828,0.135,0.133,0.685,186.033
38,4,0.539,0.705,-6.729,0.0527,0.00828,0.135,0.133,0.685,186.033,0.707,0.573,-8.403,0.0276,0.025,0.291,0.0858,0.189,100.006
38,5,0.707,0.573,-8.403,0.0276,0.025,0.291,0.0858,0.189,100.006,0.744,0.835,-10.501,0.0529,0.4,0.911,0.0562,0.296,117.997
38,6,0.744,0.835,-10.501,0.0529,0.4,0.911,0.0562,0.296,117.997,0.722,0.799,-7.93,0.0728,0.278,0.884,0.12,0.373,169.887
38,7,0.722,0.799,-7.93,0.0728,0.278,0.884,0.12,0.373,169.887,0.853,0.4,-8.276,0.0852,0.697,0.715,0.0782,0.0556,135.005
38,8,0.853,0.4,-8.276,0.0852,0.697,0.715,0.0782,0.0556,135.005,0.547,0.58,-8.099,0.0477,0.371,0.144,0.208,0.273,76.03
38,9,0.547,0.58,-8.099,0.0477,0.371,0.144,0.208,0.273,76.03,0.688,0.651,-10.774,0.0336,0.373,0.435,0.102,0.278,121.987
38,10,0.688,0.651,-10.774,0.0336,0.373,0.435,0.102,0.278,121.987,0.789,0.435,-9.506,0.149,0.691,0.0418,0.107,0.166,122.995
38,11,0.789,0.435,-9.506,0.149,0.691,0.0418,0.107,0.166,122.995,0.543,0.668,-11.182,0.0357,0.00233,0.691,0.443,0.11,127.982
38,12,0.543,0.668,-11.182,0.0357,0.00233,0.691,0.443,0.11,127.982,0.753,0.317,-11.027,0.0459,0.00789,0.845,0.0649,0.141,120.016
37,1,0.335,0.033,-29.168,0.0399,0.992,0.929,0.0801,0.281,72.704,0.521,0.825,-6.681,0.0409,0.789,0.882,0.112,0.221,120.017
37,2,0.521,0.825,-6.681,0.0409,0.789,0.882,0.112,0.221,120.017,0.31,0.279,-18.353,0.0519,0.748,0.922,0.0956,0.031,107.1
37,3,0.31,0.279,-18.353,0.0519,0.748,0.922,0.0956,0.031,107.1,0.673,0.258,-18.972,0.0387,0.242,0.876,0.105,0.248,122.008
37,4,0.673,0.258,-18.972,0.0387,0.242,0.876,0.105,0.248,122.008,0.576,0.764,-10.799,0.188,0.418,0.0749,0.0667,0.823,126.048
37,5,0.576,0.764,-10.799,0.188,0.418,0.0749,0.0667,0.823,126.048,0.586,0.786,-3.768,0.0484,0.0212,9.35e-05,0.642,0.326,115.959
37,6,0.586,0.786,-3.768,0.0484,0.0212,9.35e-05,0.642,0.326,115.959,0.589,0.431,-10.096,0.0475,0.554,0.0317,0.0878,0.159,134.688
37,7,0.589,0.431,-10.096,0.0475,0.554,0.0317,0.0878,0.159,134.688,0.79,0.425,-13.43,0.0691,0.265,0.922,0.107,0.569,125.001
37,8,0.79,0.425,-13.43,0.0691,0.265,0.922,0.107,0.569,125.001,0.546,0.404,-7.441,0.0353,0.492,0.0269,0.115,0.0395,92.07
37,9,0.546,0.404,-7.441,0.0353,0.492,0.0269,0.115,0.0395,92.07,0.565,0.363,-13.758,0.0433,0.815,0.886,0.115,0.0779,129.562
37,10,0.565,0.363,-13.758,0.0433,0.815,0.886,0.115,0.0779,129.562,0.783,0.887,-7.324,0.0404,0.159,0.874,0.416,0.184,115.003
37,11,0.783,0.887,-7.324,0.0404,0.159,0.874,0.416,0.184,115.003,0.39,0.667,-8.759,0.0748,0.655,0.905,0.165,0.0947,110.06
37,12,0.39,0.667,-8.759,0.0748,0.655,0.905,0.165,0.0947,110.06,0.598,0.561,-11.421,0.0511,0.0229,0.557,0.109,0.0385,182.988
36,1,0.394,0.0827,-24.612,0.0373,0.98,0.949,0.141,0.109,131.892,0.566,0.153,-23.892,0.0323,0.993,0.92,0.0851,0.116,70.123
36,2,0.566,0.153,-23.892,0.0323,0.993,0.92,0.0851,0.116,70.123,0.735,0.555,-8.84,0.0366,0.382,0.856,0.0952,0.523,100.01
36,3,0.735,0.555,-8.84,0.0366,0.382,0.856,0.0952,0.523,100.01,0.781,0.629,-6.152,0.0647,0.229,0.000536,0.0881,0.693,111.975
36,4,0.781,0.629,-6.152,0.0647,0.229,0.000536,0.0881,0.693,111.975,0.546,0.657,-7.48,0.0376,0.132,0.671,0.124,0.0935,87.996
36,5,0.546,0.657,-7.48,0.0376,0.132,0.671,0.124,0.0935,87.996,0.671,0.529,-9.39,0.0777,0.307,0.752,0.0782,0.176,89.981
36,6,0.671,0.529,-9.39,0.0777,0.307,0.752,0.0782,0.176,89.981,0.581,0.576,-12.545,0.0442,0.606,0.907,0.142,0.191,120.998
36,7,0.581,0.576,-12.545,0.0442,0.606,0.907,0.142,0.191,120.998,0.353,0.727,-8.578,0.0451,0.395,0.727,0.0926,0.0384,113.002
36,8,0.353,0.727,-8.578,0.0451,0.395,0.727,0.0926,0.0384,113.002,0.77,0.566,-12.939,0.0624,0.00123,0.902,0.143,0.194,120.013
36,9,0.77,0.566,-12.939,0.0624,0.00123,0.902,0.143,0.194,120.013,0.629,0.767,-7.97,0.0349,0.0999,0.933,0.0528,0.192,123.986
36,10,0.629,0.767,-7.97,0.0349,0.0999,0.933,0.0528,0.192,123.986,0.741,0.789,-4.787,0.0307,0.00137,0.413,0.111,0.475,120.002
36,11,0.741,0.789,-4.787,0.0307,0.00137,0.413,0.111,0.475,120.002,0.698,0.641,-11.253,0.0397,0.323,0.826,0.114,0.262,125.012
36,12,0.698,0.641,-11.253,0.0397,0.323,0.826,0.114,0.262,125.012,0.598,0.561,-11.421,0.0511,0.0229,0.557,0.109,0.0385,182.988
35,1,0.0644,0.232,-16.156,0.0369,0.244,0.828,0.103,0.032,56.78,0.646,0.656,-12.783,0.0375,0.0584,0.924,0.119,0.601,109.976
35,2,0.646,0.656,-12.783,0.0375,0.0584,0.924,0.119,0.601,109.976,0.463,0.359,-11.144,0.0326,0.764,0.0224,0.0997,0.161,135.055
35,3,0.463,0.359,-11.144,0.0326,0.764,0.0224,0.0997,0.161,135.055,0.706,0.532,-8.347,0.0332,0.599,0.578,0.341,0.307,108.082
35,4,0.706,0.532,-8.347,0.0332,0.599,0.578,0.341,0.307,108.082,0.451,0.611,-9.937,0.0357,0.0243,0.892,0.139,0.291,176.177
35,5,0.451,0.611,-9.937,0.0357,0.0243,0.892,0.139,0.291,176.177,0.63,0.729,-9.81,0.0327,0.52,0.935,0.0896,0.434,99.015
35,6,0.63,0.729,-9.81,0.0327,0.52,0.935,0.0896,0.434,99.015,0.8,0.752,-6.957,0.0438,0.000868,0.302,0.0624,0.659,120.01
35,7,0.8,0.752,-6.957,0.0438,0.000868,0.302,0.0624,0.659,120.01,0.713,0.725,-9.951,0.0385,0.539,0.886,0.111,0.24,122.041
35,8,0.713,0.725,-9.951,0.0385,0.539,0.886,0.111,0.24,122.041,0.668,0.727,-7.899,0.0395,0.324,0.895,0.275,0.35,117.006
35,9,0.668,0.727,-7.899,0.0395,0.324,0.895,0.275,0.35,117.006,0.622,0.855,-7.563,0.0345,0.0498,0.824,0.0914,0.0395,120.002
35,10,0.622,0.855,-7.563,0.0345,0.0498,0.824,0.0914,0.0395,120.002,0.805,0.564,-6.069,0.0478,0.0206,0.176,0.0833,0.656,118.987
35,11,0.805,0.564,-6.069,0.0478,0.0206,0.176,0.0833,0.656,118.987,0.631,0.743,-13.904,0.047,0.214,0.944,0.088,0.338,94.023
35,12,0.631,0.743,-13.904,0.047,0.214,0.944,0.088,0.338,94.023,0.391,0.794,-8.861,0.0427,0.026,0.864,0.0852,0.0662,122.982
34,1,0.241,0.0272,-24.563,0.0446,0.983,0.931,0.103,0.0377,100.237,0.23,0.0592,-23.594,0.0445,0.989,0.941,0.0906,0.103,89.965
34,2,0.23,0.0592,-23.594,0.0445,0.989,0.941,0.0906,0.103,89.965,0.488,0.545,-11.946,0.0394,0.33,0.828,0.135,0.082,175.884
34,3,0.488,0.545,-11.946,0.0394,0.33,0.828,0.135,0.082,175.884,0.624,0.715,-7.959,0.0403,0.00969,0.882,0.176,0.185,150.045
34,4,0.624,0.715,-7.959,0.0403,0.00969,0.882,0.176,0.185,150.045,0.734,0.391,-14.791,0.0475,0.917,0.681,0.151,0.245,97.022
34,5,0.734,0.391,-14.791,0.0475,0.917,0.681,0.151,0.245,97.022,0.721,0.838,-7.579,0.0428,0.0447,0.749,0.0445,0.453,125.999
34,6,0.721,0.838,-7.579,0.0428,0.0447,0.749,0.0445,0.453,125.999,0.88,0.58,-10.144,0.0926,0.867,0.471,0.102,0.406,106.027
34,7,0.88,0.58,-10.144,0.0926,0.867,0.471,0.102,0.406,106.027,0.889,0.441,-9.506,0.0379,0.0405,0.000788,0.038,0.963,110.565
34,8,0.889,0.441,-9.506,0.0379,0.0405,0.000788,0.038,0.963,110.565,0.546,0.859,-5.966,0.0306,0.00223,0.000947,0.0529,0.645,99.965
34,9,0.546,0.859,-5.966,0.0306,0.00223,0.000947,0.0529,0.645,99.965,0.808,0.805,-3.392,0.103,0.00113,0.0585,0.193,0.886,107.965
34,10,0.808,0.805,-3.392,0.103,0.00113,0.0585,0.193,0.886,107.965,0.612,0.629,-15.219,0.0355,0.339,0.946,0.153,0.208,120.061
34,11,0.612,0.629,-15.219,0.0355,0.339,0.946,0.153,0.208,120.061,0.633,0.866,-7.166,0.0558,0.475,0.723,0.0955,0.0625,195.986
34,12,0.633,0.866,-7.166,0.0558,0.475,0.723,0.0955,0.0625,195.986,0.824,0.647,-8.861,0.0426,0.00412,0.86,0.14,0.699,124.042
33,1,0.348,0.405,-15.657,0.0417,0.528,0.701,0.202,0.284,89.697,0.604,0.549,-14.607,0.0346,0.487,0.904,0.105,0.375,119.989
33,2,0.604,0.549,-14.607,0.0346,0.487,0.904,0.105,0.375,119.989,0.625,0.499,-14.094,0.0742,0.483,0.87,0.305,0.783,88.223
33,3,0.625,0.499,-14.094,0.0742,0.483,0.87,0.305,0.783,88.223,0.723,0.235,-19.987,0.0449,0.621,0.852,0.0952,0.581,116.997
33,4,0.723,0.235,-19.987,0.0449,0.621,0.852,0.0952,0.581,116.997,0.916,0.557,-8.777,0.221,0.0524,0.816,0.133,0.617,122.029
33,5,0.916,0.557,-8.777,0.221,0.0524,0.816,0.133,0.617,122.029,0.615,0.877,-5.837,0.0335,0.0125,0.89,0.261,0.208,120.001
33,6,0.615,0.877,-5.837,0.0335,0.0125,0.89,0.261,0.208,120.001,0.694,0.569,-10.42,0.036,0.524,0.831,0.168,0.468,119.034
33,7,0.694,0.569,-10.42,0.036,0.524,0.831,0.168,0.468,119.034,0.841,0.783,-9.686,0.125,0.03,0.534,0.0311,0.746,121.097
33,8,0.841,0.783,-9.686,0.125,0.03,0.534,0.0311,0.746,121.097,0.75,0.936,-4.986,0.0437,0.483,0.484,0.118,0.774,119.511
33,9,0.75,0.936,-4.986,0.0437,0.483,0.484,0.118,0.774,119.511,0.843,0.774,-8.919,0.0574,0.00327,0.816,0.309,0.758,121.99
33,10,0.843,0.774,-8.919,0.0574,0.00327,0.816,0.309,0.758,121.99,0.722,0.585,-9.462,0.0434,0.00406,0.748,0.525,0.331,121.996
33,11,0.722,0.585,-9.462,0.0434,0.00406,0.748,0.525,0.331,121.996,0.769,0.409,-12.925,0.0462,0.05,0.834,0.402,0.151,123.004
33,12,0.769,0.409,-12.925,0.0462,0.05,0.834,0.402,0.151,123.004,0.771,0.862,-9.988,0.0352,0.000333,0.82,0.109,0.576,124.999
32,1,0.107,0.143,-26.875,0.0405,0.984,0.972,0.831,0.127,185.123,0.755,0.732,-10.38,0.0446,0.0387,0.866,0.106,0.331,121.001
