volume,position,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
38,1,Finding It There,Goldmund,0.187,0.00257,1,-37.134,1,0.0427,0.994,0.952,0.0915,0.0374,123.707,audio_features,6CnPCuUcM3A5PMP4gUy0vw,spotify:track:6CnPCuUcM3A5PMP4gUy0vw,https://api.spotify.com/v1/tracks/6CnPCuUcM3A5PMP4gUy0vw,https://api.spotify.com/v1/audio-analysis/6CnPCuUcM3A5PMP4gUy0vw,220120,5
38,2,Light Forms,Rohne,0.671,0.545,10,-12.848,0,0.0393,0.524,0.853,0.118,0.284,133.036,audio_features,6MkUPsz5hYeneo0a9H0VT8,spotify:track:6MkUPsz5hYeneo0a9H0VT8,https://api.spotify.com/v1/tracks/6MkUPsz5hYeneo0a9H0VT8,https://api.spotify.com/v1/audio-analysis/6MkUPsz5hYeneo0a9H0VT8,265870,4
38,3,C-Side,Khruangbin,0.688,0.779,11,-10.129,0,0.0579,0.0387,0.118,0.349,0.938,94.073,audio_features,6GvAM8oyVApQHGMgpBt8yl,spotify:track:6GvAM8oyVApQHGMgpBt8yl,https://api.spotify.com/v1/tracks/6GvAM8oyVApQHGMgpBt8yl,https://api.spotify.com/v1/audio-analysis/6GvAM8oyVApQHGMgpBt8yl,283407,4
38,4,Didn't I (Dave Allison Rework),Darondo,0.539,0.705,0,-6.729,1,0.0527,0.00828,0.135,0.133,0.685,186.033,audio_features,1owjOeZt1BdYWW6T8fIAEe,spotify:track:1owjOeZt1BdYWW6T8fIAEe,https://api.spotify.com/v1/tracks/1owjOeZt1BdYWW6T8fIAEe,https://api.spotify.com/v1/audio-analysis/1owjOeZt1BdYWW6T8fIAEe,328000,4
38,5,Woman Of The Ghetto - Akshin Alizadeh Remix,Marlena Shaw,0.707,0.573,7,-8.403,0,0.0276,0.025,0.291,0.0858,0.189,100.006,audio_features,2h8cQH7zhUWrynZi2MKhhC,spotify:track:2h8cQH7zhUWrynZi2MKhhC,https://api.spotify.com/v1/tracks/2h8cQH7zhUWrynZi2MKhhC,https://api.spotify.com/v1/audio-analysis/2h8cQH7zhUWrynZi2MKhhC,302467,4
38,6,Flyga,Hosini,0.744,0.835,5,-10.501,1,0.0529,0.4,0.911,0.0562,0.296,117.997,audio_features,7GNvQVZfOPcjOJaJ79finx,spotify:track:7GNvQVZfOPcjOJaJ79finx,https://api.spotify.com/v1/tracks/7GNvQVZfOPcjOJaJ79finx,https://api.spotify.com/v1/audio-analysis/7GNvQVZfOPcjOJaJ79finx,277486,4
38,7,Warm Winter,Koresma,0.722,0.799,11,-7.93,1,0.0728,0.278,0.884,0.12,0.373,169.887,audio_features,63zn2RLQpGsgCTjWbk6rya,spotify:track:63zn2RLQpGsgCTjWbk6rya,https://api.spotify.com/v1/tracks/63zn2RLQpGsgCTjWbk6rya,https://api.spotify.com/v1/audio-analysis/63zn2RLQpGsgCTjWbk6rya,160090,4
38,8,Fewer Looks,Affelaye,0.853,0.4,6,-8.276,0,0.0852,0.697,0.715,0.0782,0.0556,135.005,audio_features,6TlZf8ItSrJUGfp6gu81PV,spotify:track:6TlZf8ItSrJUGfp6gu81PV,https://api.spotify.com/v1/tracks/6TlZf8ItSrJUGfp6gu81PV,https://api.spotify.com/v1/audio-analysis/6TlZf8ItSrJUGfp6gu81PV,426559,4
38,9,Eff Five,Parra for Cuva,0.547,0.58,6,-8.099,0,0.0477,0.371,0.144,0.208,0.273,76.03,audio_features,4M6norXzPA6tFElC65U9WD,spotify:track:4M6norXzPA6tFElC65U9WD,https://api.spotify.com/v1/tracks/4M6norXzPA6tFElC65U9WD,https://api.spotify.com/v1/audio-analysis/4M6norXzPA6tFElC65U9WD,291363,4
38,10,How Often,Lane 8,0.688,0.651,9,-10.774,0,0.0336,0.373,0.435,0.102,0.278,121.987,audio_features,5sYagRbhe4FAWYE04wlEYQ,spotify:track:5sYagRbhe4FAWYE04wlEYQ,https://api.spotify.com/v1/tracks/5sYagRbhe4FAWYE04wlEYQ,https://api.spotify.com/v1/audio-analysis/5sYagRbhe4FAWYE04wlEYQ,255738,4
